year,country,Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",GDP per person employed (constant 2021 PPP $),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)","Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
1976,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85,
1976,CAN,,,,,,,,,,,,,,,,,,,,,,,12.392,,,,,,7.09,
1976,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,
1976,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75,
1976,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,
1976,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,
1976,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,
1976,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,
1976,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47,
1976,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,
1976,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.79,
1976,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
1976,IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,
1976,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,
1976,ISR,,,,,,,,,,,,,,,,,,,,,,,9.83,,,,,,3.47,
1976,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64,
1976,JAM,,,,,,,,,,,,,,,,,,,,,,,40.59,,,,,,21.81,
1976,JPN,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,2.0,
1976,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.808,
1976,NAC,,,,,,,,,,,,,,,,,,,,,,,14.4672760814474,,,,,,,
1976,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,
1976,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,
1976,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67,
1976,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,
1976,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,
1976,PRI,,,,,,,,,,,,,,,,,,,,,,,37.24,,,,,,19.65,
1976,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,
1976,SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48,
1976,SWE,,,,,,,,,,,,,,,,,,,,,,,3.74,,,,,,1.61,
1976,SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,
1976,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,
1976,USA,,,,,,,,,,,,,,,,,,,,,,,14.7,,,,,,7.7,
1976,VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34,
1977,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,
1977,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.87,
1977,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,
1977,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67,
1977,BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.86,
1977,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,
1977,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,
1977,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.45,
1977,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.063,
1977,CAN,,,,,,,,,,,,,,,,,,,,,,,13.821,,,,,,8.049,
1977,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,
1977,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.83,
1977,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,
1977,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,
1977,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,
1977,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,
1977,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,
1977,ESP,,,,,,,,,,,,,,,,,,,,,,,12.48,,,,,,5.2,
1977,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09,
1977,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01,
1977,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,
1977,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,
1977,IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,
1977,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,
1977,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.12,
1977,JPN,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,2.0,
1977,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.806,
1977,MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.14,
1977,NAC,,,,,,,,,,,,,,,,,,,,,,,13.622318375172,,,,,,,
1977,NLD,,,,,,,,,,,,,,,,,,,,,,,9.67,,,,,,5.88,
1977,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,
1977,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,
1977,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.73,
1977,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.82,
1977,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47,
1977,PRI,,,,,,,,,,,,,,,,,,,,,,,37.9,,,,,,19.04,
1977,SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93,
1977,SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
1977,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,
1977,TTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.98,
1977,USA,,,,,,,,,,,,,,,,,,,,,,,13.6,,,,,,7.1,
1977,VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,
1978,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,
1978,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.79,
1978,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,
1978,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,
1978,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,
1978,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,
1978,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.29,
1978,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.696,
1978,CAN,,,,,,,,,,,,,,,,,,,,,,,14.026,,,,,,8.376,
1978,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,
1978,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.26,
1978,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,
1978,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
1978,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,
1978,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64,
1978,ESP,,,,,,,,,,,,,,,,,,,,,,,17.56,,,,,,6.97,
1978,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23,
1978,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.27,
1978,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,
1978,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,
1978,IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,
1978,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,
1978,ISR,,,,,,,,,,,,,,,,,,,,,,,9.87,,,,,,3.42,
1978,ITA,,,,,,,,,,,,,,,,,,,,,,,24.81,,,,,,7.24,
1978,JAM,,,,,,,,,,,,,,,,,,,,,,,43.52,,,,,,23.72,
1978,JPN,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,2.2,
1978,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.167,
1978,NAC,,,,,,,,,,,,,,,,,,,,,,,12.4747092750863,,,,,,,
1978,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,
1978,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18,
1978,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.06,
1978,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,
1978,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
1978,PRI,,,,,,,,,,,,,,,,,,,,,,,35.72,,,,,,16.73,
1978,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.89,
1978,SDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,
1978,SGP,,,,,,,,,,,,,,,,,,,,,,,5.98,,,,,,2.26,
1978,SLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73,
1978,SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,
1978,THA,,,,,,,,,,,,,,,,,,,,,,,1.79,,,,,,0.75,
1978,TTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.27,
1978,USA,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,,,6.1,
1978,VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,
1979,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
1979,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.35,
1979,AUS,,,,,,,,,,,,,,,,,,,,,,,12.976,,,,,,6.265,
1979,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
1979,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.96,
1979,BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,
1979,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,
1979,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,
1979,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45,
1979,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.041,
1979,CAN,,,,,,,,,,,,,,,,,,,,,,,12.675,,,,,,7.525,
1979,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,
1979,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.63,
1979,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,
1979,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,
1979,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,
1979,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,
1979,ESP,,,,,,,,,,,,,,,,,,,,,,,21.56,,,,,,8.61,
1979,FIN,,,,,,,,,,,,,,,,,,,,,,,11.89,,,,,,6.2,
1979,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03,
1979,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,
1979,HKG,,,,,,,,,,,,,,,,,,,,,,,6.46,,,,,,2.09,
1979,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,
1979,ISR,,,,,,,,,,,,,,,,,,,,,,,8.04,,,,,,2.78,
1979,ITA,,,,,,,,,,,,,,,,,,,,,,,25.37,,,,,,7.64,
1979,JPN,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,2.1,
1979,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.812,
1979,NAC,,,,,,,,,,,,,,,,,,,,,,,11.888943645637,,,,,,,
1979,NLD,,,,,,,,,,,,,,,,,,,,,,,10.38,,,,,,6.16,
1979,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,
1979,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12,
1979,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78,
1979,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.12,
1979,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,
1979,PRI,,,,,,,,,,,,,,,,,,,,,,,31.25,,,,,,14.53,
1979,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94,
1979,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.69,
1979,SGP,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,2.12,
1979,SLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.79,
1979,SMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,
1979,STP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,
1979,SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,
1979,THA,,,,,,,,,,,,,,,,,,,,,,,2.08,,,,,,0.92,
1979,TTO,,,,,,,,,,,,,,,,,,,,,,,20.41,,,,,,6.75,
1979,USA,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,5.8,
1979,VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.81,
1980,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,
1980,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,
1980,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.41,
1980,AUS,,,,,,,,,,,,,,,,,,,,,,,12.526,,,,,,6.105,
1980,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,
1980,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,
1980,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,
1980,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.98,
1980,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.668,
1980,CAN,,,,,,,,,,,,,,,,,,,,,,,12.825,,,,,,7.537,
1980,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,
1980,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.46,
1980,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,
1980,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,
1980,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
1980,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
1980,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.18,
1980,ESP,,,,,,,,,,,,,,,,,,,,,,,28.39,,,,,,11.4,
1980,FIN,,,,,,,,,,,,,,,,,,,,,,,9.02,,,,,,4.86,
1980,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42,
1980,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,
1980,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,
1980,HKG,,,,,,,,,,,,,,,,,,,,,,,7.08,,,,,,2.4,
1980,IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,
1980,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,
1980,ISR,,,,,,,,,,,,,,,,,,,,,,,13.25,,,,,,4.59,
1980,ITA,,,,,,,,,,,,,,,,,,,,,,,25.02,,,,,,7.53,
1980,JAM,,,,,,,,,,,,,,,,,,,,,,,93.02,,,,,,35.51,
1980,JPN,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,2.0,
1980,KNA,,,,,,,,,,,,,,,,,,,,,,,18.37,,,,,,9.83,
1980,KOR,,,,,,,,,,,,,,,,,,,,,,,11.458,,,,,,5.196,
1980,MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.73,
1980,MYS,,,,,,,,,,,,,,,,,,,,,,,3.976,,,,,,1.661,
1980,NAC,,,,,,,,,,,,,,,,,,,,,,,13.7896637487377,,,,,,,
1980,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,
1980,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.97,
1980,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,
1980,PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,
1980,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,
1980,SGP,,,,,,,,,,,,,,,,,,,,,,,4.81,,,,,,1.8,
1980,SLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.34,
1980,SMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,
1980,STP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,
1980,THA,,,,,,,,,,,,,,,,,,,,,,,1.82,,,,,,0.93,
1980,TTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03,
1980,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,
1980,USA,,,,,,,,,,,,,,,,,,,,,,,13.9,,,,,,7.1,
1980,VCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,
1980,VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.89,
1981,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,
1981,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,
1981,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.61,
1981,AUS,,,,,,,,,,,,,,,,,,,,,,,11.42,,,,,,5.784,
1981,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,
1981,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.35,
1981,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,
1981,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.16,
1981,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99,
1981,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23,
1981,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.842,
1981,CAN,,,,,,,,,,,,,,,,,,,,,,,12.777,,,,,,7.607,
1981,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,
1981,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.35,
1981,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,
1981,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.13,
1981,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,
1981,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,
1981,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.97,
1981,ESP,,,,,,,,,,,,,,,,,,,,,,,34.69,,,,,,14.17,
1981,FIN,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,5.04,
1981,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54,
1981,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,
1981,GRC,,,,,,,,,,,,,,,,,,,,,,,9.11,,,,,,3.42,
1981,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,
1981,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,
1981,HKG,,,,,,,,,,,,,,,,,,,,,,,4.34,,,,,,1.53,
1981,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,
1981,ISR,,,,,,,,,,,,,,,,,,,,,,,14.33,,,,,,4.92,
1981,JAM,,,,,,,,,,,,,,,,,,,,,,,45.15,,,,,,25.0,
1981,JPN,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,2.2,
1981,KOR,,,,,,,,,,,,,,,,,,,,,,,10.158,,,,,,4.507,
1981,NAC,,,,,,,,,,,,,,,,,,,,,,,14.6807080309182,,,,,,,
1981,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.92,
1981,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,
1981,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.77,
1981,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36,
1981,PRI,,,,,,,,,,,,,,,,,,,,,,,36.12,,,,,,17.83,
1981,SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,
1981,STP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,
1981,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,
1981,TTO,,,,,,,,,,,,,,,,,,,,,,,20.51,,,,,,6.31,
1981,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,
1981,USA,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,7.6,
1981,VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
1982,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,
1982,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73,
1982,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.78,
1982,AUS,,,,,,,,,,,,,,,,,,,,,,,13.847,,,,,,7.163,
1982,AUT,,,,,,,,,,,,,,,,,,,,,,,5.21,,,,,,3.35,
1982,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,
1982,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,
1982,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83,
1982,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39,
1982,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.548,
1982,CAN,,,,,,,,,,,,,,,,,,,,,,,18.24,,,,,,11.04,
1982,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,
1982,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,
1982,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,
1982,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.46,
1982,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,
1982,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,
1982,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,
1982,ESP,,,,,,,,,,,,,,,,,,,,,,,38.61,,,,,,16.0,
1982,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28,
1982,FJI,,,,,,,,,,,,,,,,,,,,,,,14.68,,,,,,6.06,
1982,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,
1982,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,
1982,GRC,,,,,,,,,,,,,,,,,,,,,,,12.39,,,,,,4.94,
1982,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,
1982,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,
1982,HKG,,,,,,,,,,,,,,,,,,,,,,,5.97,,,,,,1.85,
1982,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,
1982,IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,
1982,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,
1982,ISR,,,,,,,,,,,,,,,,,,,,,,,14.06,,,,,,4.81,
1982,ITA,,,,,,,,,,,,,,,,,,,,,,,29.43,,,,,,9.03,
1982,JAM,,,,,,,,,,,,,,,,,,,,,,,48.68,,,,,,26.7,
1982,JPN,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,2.4,
1982,KOR,,,,,,,,,,,,,,,,,,,,,,,10.08,,,,,,4.363,
1982,MAR,,,,,,,,,,,,,,,,,,,,,,,20.471,,,,,,11.503,
1982,MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,
1982,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,
1982,NAC,,,,,,,,,,,,,,,,,,,,,,,17.8455139905239,,,,,,,
1982,NOR,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,1.7,
1982,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,
1982,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.41,
1982,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98,
1982,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,
1982,PRI,,,,,,,,,,,,,,,,,,,,,,,38.74,,,,,,19.91,
1982,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61,
1982,SGP,,,,,,,,,,,,,,,,,,,,,,,4.49,,,,,,1.5,
1982,STP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,
1982,SWE,,,,,,,,,,,,,,,,,,,,,,,7.59,,,,,,3.14,
1982,THA,,,,,,,,,,,,,,,,,,,,,,,4.12,,,,,,2.66,
1982,TTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22,
1982,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.93,
1982,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,
1982,USA,,,,,,,,,,,,,,,,,,,,,,,17.8,,,,,,9.7,
1982,VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.05,
1982,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,
1983,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,
1983,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17,
1983,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.96,
1983,AUS,,,,,,,,,,,,,,,,,,,,,,,18.302,,,,,,9.961,
1983,AUT,,,,,,,,,,,,,,,,,,,,,,,6.14,,,,,,4.11,
1983,BEL,,,,,,,,,,,,,,,,,,,,,,,23.908,,,,,,11.66,
1983,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.19,
